OS,Browser,screenW,workerid,screenH
Windows,Chrome,1920,0,1080
Windows,Chrome,1920,1,1080
Windows,Chrome,1366,2,768
Windows,Chrome,1920,3,1080
Windows,Firefox,2144,4,1206
Windows,Firefox,1467,5,2347
Windows,Chrome,1920,6,1200
Windows,Chrome,1920,7,1080
Windows,Chrome,1360,8,768
Windows,Firefox,2560,9,1440
Windows,Chrome,1366,10,768
Mac,Firefox,1920,11,1080
Linux,Chrome,1280,12,800
Mac,Firefox,1360,13,768
Windows,Chrome,1366,14,768
Windows,Chrome,1536,15,864
Windows,Chrome,1920,16,1080
Windows,Chrome,1366,17,768
Windows,Chrome,1366,18,768
Windows,Chrome,1024,19,768
Windows,Chrome,1600,20,900
Windows,Chrome,1366,21,768
Windows,Chrome,1920,22,1080
Windows,Chrome,1920,23,1080
Windows,Firefox,1366,24,768
Mac,Chrome,1280,25,800
Windows,Chrome,1920,26,1080
Mac,Chrome,1440,27,900
Windows,Chrome,1536,28,864
Windows,Chrome,1920,29,1080
Windows,Chrome,1366,30,768
Windows,Chrome,2560,31,1080
Mac,Chrome,1440,32,900
Windows,Chrome,1920,33,1080
Windows,Chrome,1920,34,1080
Windows,Firefox,1835,35,1468
Windows,Chrome,1536,36,864
Windows,Firefox,1600,37,900
Windows,Chrome,1680,38,1050
Windows,Firefox,1920,39,1080
Windows,Chrome,1536,40,864
Windows,Chrome,1366,41,768
Windows,Chrome,1366,42,768
Windows,Firefox,1280,43,720
Windows,Chrome,1366,44,768
Windows,Chrome,1920,45,1080
Windows,Chrome,1920,46,1080
Windows,Chrome,1536,47,864
Windows,Chrome,1366,48,768
Windows,Chrome,1536,49,864
