"","correctclass","condition","N","response","bootsci_high","bootsci_low","predictor"
"1","age","AAN",289,0.576332179930796,0.614948961937716,0.537923875432526,"rating"
"2","age","ANA",279,0.664086021505376,0.707706989247312,0.620609318996416,"rating"
"3","age","NAA",311,0.463183279742765,0.504405948553055,0.421252411575563,"rating"
"4","color","AAN",411,0.42029197080292,0.449805352798054,0.390680656934307,"rating"
"5","color","ANA",385,0.232363636363636,0.263013636363636,0.202258441558442,"rating"
"6","color","NAA",402,0.567014925373134,0.602937189054726,0.530447139303483,"rating"
"7","nationality","AAN",225,0.427288888888889,0.465956666666667,0.389554444444444,"rating"
"8","nationality","ANA",245,0.161469387755102,0.193428571428571,0.13220306122449,"rating"
"9","nationality","NAA",227,0.579118942731278,0.626607929515419,0.530966960352423,"rating"
"10","quality","AAN",182,0.577087912087912,0.624835164835165,0.528901098901099,"rating"
"11","quality","ANA",171,0.724210526315789,0.775614035087719,0.669883040935673,"rating"
"12","quality","NAA",168,0.339345238095238,0.389525297619048,0.290415178571429,"rating"
"13","shape","AAN",153,0.438954248366013,0.492091503267974,0.386470588235294,"rating"
"14","shape","ANA",165,0.384363636363636,0.44630303030303,0.324060606060606,"rating"
"15","shape","NAA",165,0.565151515151515,0.62230303030303,0.507333333333333,"rating"
"16","size","AAN",387,0.579018087855297,0.611344315245478,0.546071705426357,"rating"
"17","size","ANA",376,0.772393617021277,0.803139627659574,0.739759973404255,"rating"
"18","size","NAA",395,0.469518987341772,0.504708860759494,0.434682911392405,"rating"
"19","texture","AAN",229,0.464148471615721,0.504018558951965,0.42292576419214,"rating"
"20","texture","ANA",219,0.584566210045662,0.637442922374429,0.532694063926941,"rating"
"21","texture","NAA",232,0.477715517241379,0.523233836206897,0.432672413793103,"rating"
